timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1522826332959,308,process-non-blocking,200,,Thread Group 1-1,text,true,,165,156,1,1,308,0,4
1522826333267,308,process-non-blocking,200,,Thread Group 1-1,text,true,,165,156,1,1,308,0,0
1522826333575,305,process-non-blocking,200,,Thread Group 1-1,text,true,,165,156,1,1,305,0,0
1522826333880,307,process-non-blocking,200,,Thread Group 1-1,text,true,,165,156,2,2,307,0,0
1522826333959,304,process-non-blocking,200,,Thread Group 1-2,text,true,,165,156,2,2,304,0,0
1522826334187,307,process-non-blocking,200,,Thread Group 1-1,text,true,,165,156,2,2,307,0,0
1522826334264,306,process-non-blocking,200,,Thread Group 1-2,text,true,,165,156,2,2,306,0,0
1522826334495,302,process-non-blocking,200,,Thread Group 1-1,text,true,,165,156,2,2,302,0,0
1522826334571,303,process-non-blocking,200,,Thread Group 1-2,text,true,,165,156,2,2,303,0,0
1522826334797,303,process-non-blocking,200,,Thread Group 1-1,text,true,,165,156,3,3,303,0,0
1522826334873,306,process-non-blocking,200,,Thread Group 1-2,text,true,,165,156,3,3,306,0,0
1522826334961,304,process-non-blocking,200,,Thread Group 1-3,text,true,,165,156,3,3,304,0,0
1522826335100,303,process-non-blocking,200,,Thread Group 1-1,text,true,,165,156,3,3,303,0,0
1522826335179,305,process-non-blocking,200,,Thread Group 1-2,text,true,,165,156,3,3,305,0,0
1522826335265,303,process-non-blocking,200,,Thread Group 1-3,text,true,,165,156,3,3,303,0,0
1522826335403,304,process-non-blocking,200,,Thread Group 1-1,text,true,,165,156,3,3,304,0,0
1522826335484,305,process-non-blocking,200,,Thread Group 1-2,text,true,,165,156,3,3,305,0,0
1522826335568,305,process-non-blocking,200,,Thread Group 1-3,text,true,,165,156,3,3,305,0,0
1522826335707,305,process-non-blocking,200,,Thread Group 1-1,text,true,,165,156,4,4,305,0,0
1522826335789,302,process-non-blocking,200,,Thread Group 1-2,text,true,,165,156,4,4,302,0,0
1522826335874,305,process-non-blocking,200,,Thread Group 1-3,text,true,,165,156,4,4,305,0,0
1522826335963,306,process-non-blocking,200,,Thread Group 1-4,text,true,,165,156,4,4,306,0,0
1522826336012,306,process-non-blocking,200,,Thread Group 1-1,text,true,,165,156,4,4,306,0,0
1522826336091,308,process-non-blocking,200,,Thread Group 1-2,text,true,,165,156,4,4,308,0,1
1522826336179,309,process-non-blocking,200,,Thread Group 1-3,text,true,,165,156,4,4,309,0,0
1522826336269,305,process-non-blocking,200,,Thread Group 1-4,text,true,,165,156,4,4,305,0,0
1522826336318,307,process-non-blocking,200,,Thread Group 1-1,text,true,,165,156,4,4,307,0,0
1522826336399,306,process-non-blocking,200,,Thread Group 1-2,text,true,,165,156,4,4,306,0,0
1522826336488,308,process-non-blocking,200,,Thread Group 1-3,text,true,,165,156,4,4,308,0,0
1522826336574,304,process-non-blocking,200,,Thread Group 1-4,text,true,,165,156,4,4,304,0,0
1522826336625,305,process-non-blocking,200,,Thread Group 1-1,text,true,,165,156,4,4,305,0,0
1522826336705,306,process-non-blocking,200,,Thread Group 1-2,text,true,,165,156,5,5,306,0,0
1522826336796,303,process-non-blocking,200,,Thread Group 1-3,text,true,,165,156,5,5,303,0,0
1522826336879,302,process-non-blocking,200,,Thread Group 1-4,text,true,,165,156,5,5,302,0,0
1522826336930,302,process-non-blocking,200,,Thread Group 1-1,text,true,,165,156,5,5,302,0,0
1522826336960,307,process-non-blocking,200,,Thread Group 1-5,text,true,,165,156,5,5,307,0,0
1522826337011,306,process-non-blocking,200,,Thread Group 1-2,text,true,,165,156,5,5,306,0,0
1522826337099,304,process-non-blocking,200,,Thread Group 1-3,text,true,,165,156,5,5,304,0,1
1522826337181,304,process-non-blocking,200,,Thread Group 1-4,text,true,,165,156,5,5,304,0,0
1522826337232,304,process-non-blocking,200,,Thread Group 1-1,text,true,,165,156,5,5,304,0,0
1522826337267,306,process-non-blocking,200,,Thread Group 1-5,text,true,,165,156,5,5,306,0,0
1522826337317,303,process-non-blocking,200,,Thread Group 1-2,text,true,,165,156,5,5,303,0,0
1522826337403,303,process-non-blocking,200,,Thread Group 1-3,text,true,,165,156,5,5,303,0,0
1522826337485,305,process-non-blocking,200,,Thread Group 1-4,text,true,,165,156,5,5,305,0,0
1522826337536,305,process-non-blocking,200,,Thread Group 1-1,text,true,,165,156,5,5,305,0,0
